timestamp,src_user,src_user_name,src_user_domain,dst_user,dst_user_name,dst_user_domain,src_computer,dst_computer,auth_type,logon_type,auth_orientation,result,event_type
150879,U3625@DOM1,U3625,DOM1,U3625@DOM1,U3625,DOM1,C2532,C612,?,?,TGS,Success,TGS_Success
150879,U3625@DOM1,U3625,DOM1,U3625@DOM1,U3625,DOM1,C2532,TGT,?,?,TGS,Success,TGS_Success
150879,U3625@DOM1,U3625,DOM1,U3625@DOM1,U3625,DOM1,C612,C612,?,Network,LogOff,Success,LogOff_Success
150879,U391@DOM1,U391,DOM1,U391@DOM1,U391,DOM1,C457,C457,?,Network,LogOff,Success,LogOff_Success
150879,U391@DOM1,U391,DOM1,U391@DOM1,U391,DOM1,C467,C467,?,Network,LogOff,Success,LogOff_Success
150879,U4456@DOM1,U4456,DOM1,U4456@DOM1,U4456,DOM1,C1015,C1015,?,Network,LogOff,Success,LogOff_Success
150879,U4456@DOM1,U4456,DOM1,U4456@DOM1,U4456,DOM1,C11114,C1015,NTLM,Network,LogOn,Success,LogOn_Success
150879,U4745@DOM1,U4745,DOM1,U4745@DOM1,U4745,DOM1,C585,C585,?,Network,LogOff,Success,LogOff_Success
150879,U4998@DOM1,U4998,DOM1,U4998@DOM1,U4998,DOM1,C585,C585,?,Network,LogOff,Success,LogOff_Success
150879,U5025@DOM1,U5025,DOM1,U5025@DOM1,U5025,DOM1,C467,C467,?,Network,LogOff,Success,LogOff_Success
150879,U5034@DOM1,U5034,DOM1,U5034@DOM1,U5034,DOM1,C585,C585,?,Network,LogOff,Success,LogOff_Success
150879,U5034@DOM1,U5034,DOM1,U5034@DOM1,U5034,DOM1,C625,C625,?,Network,LogOff,Success,LogOff_Success
150879,U5151@DOM1,U5151,DOM1,U5151@DOM1,U5151,DOM1,C12558,C2162,Kerberos,Network,LogOn,Success,LogOn_Success
150879,U524@DOM1,U524,DOM1,U524@DOM1,U524,DOM1,C2106,C2106,?,Network,LogOff,Success,LogOff_Success
150879,U5256@DOM1,U5256,DOM1,U5256@DOM1,U5256,DOM1,C585,C585,?,Network,LogOff,Success,LogOff_Success
150879,U5671@DOM1,U5671,DOM1,U5671@DOM1,U5671,DOM1,C585,C585,?,Network,LogOff,Success,LogOff_Success
150879,U5674@DOM1,U5674,DOM1,U5674@DOM1,U5674,DOM1,C585,C585,?,Network,LogOff,Success,LogOff_Success
150879,U586@DOM1,U586,DOM1,U586@DOM1,U586,DOM1,C457,C457,?,Network,LogOff,Success,LogOff_Success
150879,U586@DOM1,U586,DOM1,U586@DOM1,U586,DOM1,C529,C529,?,Network,LogOff,Success,LogOff_Success
150879,U5968@DOM1,U5968,DOM1,U5968@DOM1,U5968,DOM1,C2855,C2855,?,Network,LogOff,Success,LogOff_Success
150879,U6276@DOM1,U6276,DOM1,U6276@DOM1,U6276,DOM1,C1015,C1015,?,Network,LogOff,Success,LogOff_Success
150879,U6297@DOM1,U6297,DOM1,U6297@DOM1,U6297,DOM1,C1065,C1065,?,Network,LogOff,Success,LogOff_Success
150879,U6393@DOM1,U6393,DOM1,U6393@DOM1,U6393,DOM1,C14474,C423,Kerberos,Network,LogOn,Success,LogOn_Success
150879,U6464@DOM1,U6464,DOM1,U6464@DOM1,U6464,DOM1,C2106,C2106,?,Network,LogOff,Success,LogOff_Success
150879,U646@DOM1,U646,DOM1,U646@DOM1,U646,DOM1,C1090,C625,Kerberos,Network,LogOn,Success,LogOn_Success
150879,U646@DOM1,U646,DOM1,U646@DOM1,U646,DOM1,C625,C625,?,Network,LogOff,Success,LogOff_Success
150879,U6888@DOM1,U6888,DOM1,U6888@DOM1,U6888,DOM1,C586,C586,?,Network,LogOff,Success,LogOff_Success
150879,U767@DOM1,U767,DOM1,U767@DOM1,U767,DOM1,C1450,C5618,Kerberos,Network,LogOn,Success,LogOn_Success
150879,U767@DOM1,U767,DOM1,U767@DOM1,U767,DOM1,C1450,C5618,NTLM,Network,LogOn,Success,LogOn_Success
